ShowCancelledTrip,Monitored,VejoArrivalTime,MonitoringError,ShowFlexibleTrip,CancelledCall,TimingPointCode,WheelChairAccessible,BlockCode,VejoDepartureTime,DetectedUserStopCode,ExpectedDepartureTime,UserStopOrderNumber,ExtraJourney,JourneyModificationType,ShowCancelledStop,LinePlanningNumber,VehicleJourneyType,TimingPointDataOwnerCode,ExtraCall,UserStopCode,JourneyStopType,TargetDepartureTime,ExpectedArrivalTime,VejoJourneyNumber,IsTimingStop,DataOwnerCode,FortifyOrderNumber,JourneyNumber,JourneyPatternCode,LocalServiceLevelCode,LineDirection,DistanceSinceDetectedUserStop,LineVeTagNumber,LastUpdateTimeStamp,DestinationCode,OperationDate,SideCode,NumberOfCoaches,VehicleNumber,CancelledJourney,TripStopStatus,TargetArrivalTime
TRUE,1,06:24:00,0,FALSE,0,25150050,UNKNOWN,550522,06:07:00,25150050,2021-06-22T06:12:35,4,0,NONE,1,G141,PUJO,ALGEMEEN,0,25150050,INTERMEDIATE,06:12:00,2021-06-22T06:12:35,1103,False,CXX,0,1103,107905,6830408,1,1813,141,2021-06-22T06:07:58+02:00,G14120082,2021-06-22,-,1,9306,0,DRIVING,06:12:00
TRUE,1,06:24:00,0,FALSE,0,25150250,UNKNOWN,550522,06:07:00,25150250,2021-06-22T06:15:17,6,0,NONE,1,G141,PUJO,ALGEMEEN,0,25150250,INTERMEDIATE,06:15:00,2021-06-22T06:15:17,1103,False,CXX,0,1103,107905,6830408,1,881,141,2021-06-22T06:07:58+02:00,G14120082,2021-06-22,-,1,9306,0,DRIVING,06:15:00
TRUE,1,06:20:00,0,FALSE,0,36005500,UNKNOWN,700108,05:57:00,36005500,2021-06-22T06:10:46,12,0,NONE,1,H010,PUJO,ALGEMEEN,0,36005500,INTERMEDIATE,06:09:00,2021-06-22T06:10:46,2,False,CXX,0,2,222692,6830427,2,429,10,2021-06-22T06:07:58+02:00,H01000649,2021-06-22,-,1,7558,0,DRIVING,06:09:00
TRUE,1,06:20:00,0,FALSE,0,36005580,UNKNOWN,700108,05:57:00,36005580,2021-06-22T06:09:52,10,0,NONE,1,H010,PUJO,ALGEMEEN,0,36005580,INTERMEDIATE,06:08:00,2021-06-22T06:09:52,2,False,CXX,0,2,222692,6830427,2,287,10,2021-06-22T06:07:58+02:00,H01000649,2021-06-22,-,1,7558,0,DRIVING,06:08:00
TRUE,113206,1,06:51:00,0,FALSE,0,36480170,UNKNOWN,700105,05:52:00,36480170,2021-06-22T06:31:00,27,0,NONE,1,H123,PUJO,ALGEMEEN,0,36480170,INTERMEDIATE,06:31:00,2021-06-22T06:31:00,1,False,CXX,0,1,222650,6830458,1,3952,123,2021-06-22T06:07:58+02:00,H12300570,2021-06-22,-,1,7550,0,PASSED,06:31:00,508275
TRUE,130881,1,06:40:00,0,FALSE,0,38000610,UNKNOWN,870241,06:02:00,38000610,2021-06-22T06:03:46,3,0,NONE,1,H139,06:03:55,ALGEMEEN,0,38000610,INTERMEDIATE,06:03:00,2021-06-22T06:03:46,3,PUJO,False,CXX,0,3,280810,6830491,1,406,139,2021-06-22T06:07:58+02:00,H13900631,2021-06-22,-,1,7613,0,PASSED,06:03:00,521925
TRUE,1,06:33:00,0,FALSE,0,65201040,UNKNOWN,1210253,06:04:00,65201040,2021-06-22T06:13:20,6,0,NONE,1,L011,PUJO,ALGEMEEN,0,65201040,INTERMEDIATE,06:13:00,2021-06-22T06:13:20,1,False,CXX,0,1,206248,6830597,1,791,11,2021-06-22T06:07:58+02:00,L01115928,2021-06-22,-,1,3383,0,DRIVING,06:13:00
TRUE,1,06:18:00,0,FALSE,0,57230320,UNKNOWN,750007,05:55:00,57230320,2021-06-22T06:14:22,17,0,NONE,1,M195,PUJO,ALGEMEEN,0,57230320,INTERMEDIATE,06:13:00,2021-06-22T06:14:22,5,False,CXX,0,5,303090,6830778,1,2104,195,2021-06-22T06:07:58+02:00,M19534388,2021-06-22,-,1,9714,0,DRIVING,06:13:00
TRUE,1,06:36:00,0,FALSE,0,56330690,UNKNOWN,620356,05:30:00,56330690,2021-06-22T06:07:58,12,0,NONE,1,M300,PUJO,ALGEMEEN,0,56330690,INTERMEDIATE,06:09:00,2021-06-22T06:07:57,6,False,CXX,0,6,260088,6830792,2,1327,06:07:58,2021-06-22T06:07:58+02:00,M30001403,2021-06-22,-,1,9352,0,ARRIVED,06:09:00,300
TRUE,1,06:46:00,0,FALSE,0,56330690,UNKNOWN,620358,05:40:00,56330690,2021-06-22T06:19:04,12,0,NONE,1,M300,PUJO,ALGEMEEN,0,56330690,INTERMEDIATE,06:19:00,2021-06-22T06:19:04,8,False,CXX,0,8,260088,6830792,2,1327,300,2021-06-22T06:07:58+02:00,M30001403,2021-06-22,-,1,9356,0,DRIVING,06:19:00
