TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Poort, Middenkant",Almere Poort,58420020,ALGEMEEN
"Almere Poort, Homeruskwartier Mid.",Almere Poort,58420090,ALGEMEEN
"Almere Poort, Europakwartier West",Almere Poort,58420110,ALGEMEEN
"Almere Poort, Homeruskwartier Oost",Almere Poort,58420140,ALGEMEEN
"Almere Poort, Homeruskwartier West",Almere Poort,58420170,ALGEMEEN
"Almere Poort, Columbuskwartier",Almere Poort,58420210,ALGEMEEN
"Almere Poort, Hogekant",Almere Poort,58420240,ALGEMEEN
"Almere Poort, Station Poort",Almere Poort,58420254,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650120,ALGEMEEN
"Almere Stad, Haydnplantsoen",Almere Stad,58650260,ALGEMEEN
"Almere Stad, Stedenwijk Midden",Almere Stad,58650300,ALGEMEEN
"Almere Stad, Passage",Almere Stad,58650360,ALGEMEEN
"Almere Stad, Stadhuisplein",Almere Stad,58650440,ALGEMEEN
"Almere Stad, Operetteweg",Almere Stad,58650660,ALGEMEEN
"Almere Stad, Literatuurwijk Oost",Almere Stad,58650680,ALGEMEEN
"Almere Stad, Literatuurwijk Mid.",Almere Stad,58651060,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651080,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655130,ALGEMEEN
"Almere Stad, Literatuurwijk West",Almere Stad,58655520,ALGEMEEN
"Almere Poort, Middenkant",Almere Poort,58420010,ALGEMEEN
"Almere Poort, Homeruskwartier Mid.",Almere Poort,58420100,ALGEMEEN
"Almere Poort, Europakwartier West",Almere Poort,58420120,ALGEMEEN
"Almere Poort, Homeruskwartier Oost",Almere Poort,58420130,ALGEMEEN
"Almere Poort, Homeruskwartier West",Almere Poort,58420180,ALGEMEEN
"Almere Poort, Columbuskwartier",Almere Poort,58420220,ALGEMEEN
"Almere Poort, Hogekant",Almere Poort,58420230,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650110,ALGEMEEN
"Almere Stad, Stedenwijk Midden",Almere Stad,58650150,ALGEMEEN
"Almere Stad, Haydnplantsoen",Almere Stad,58650250,ALGEMEEN
"Almere Stad, Passage",Almere Stad,58650350,ALGEMEEN
"Almere Stad, Stadhuisplein",Almere Stad,58650430,ALGEMEEN
"Almere Stad, Operetteweg",Almere Stad,58650670,ALGEMEEN
"Almere Stad, Literatuurwijk Oost",Almere Stad,58650690,ALGEMEEN
"Almere Stad, Literatuurwijk Mid.",Almere Stad,58651050,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651070,ALGEMEEN
"Almere Stad, Literatuurwijk West",Almere Stad,58655510,ALGEMEEN
TimingPointName,TimingPointTown,TimingPointCode,DataOwnerCode
"Almere Poort, Middenkant",Almere Poort,58420020,ALGEMEEN
"Almere Poort, Homeruskwartier Mid.",Almere Poort,58420090,ALGEMEEN
"Almere Poort, Europakwartier West",Almere Poort,58420110,ALGEMEEN
"Almere Poort, Homeruskwartier Oost",Almere Poort,58420140,ALGEMEEN
"Almere Poort, Homeruskwartier West",Almere Poort,58420170,ALGEMEEN
"Almere Poort, Columbuskwartier",Almere Poort,58420210,ALGEMEEN
"Almere Poort, Hogekant",Almere Poort,58420240,ALGEMEEN
"Almere Poort, Station Poort",Almere Poort,58420254,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650120,ALGEMEEN
"Almere Stad, Haydnplantsoen",Almere Stad,58650260,ALGEMEEN
"Almere Stad, Stedenwijk Midden",Almere Stad,58650300,ALGEMEEN
"Almere Stad, Passage",Almere Stad,58650360,ALGEMEEN
"Almere Stad, Stadhuisplein",Almere Stad,58650440,ALGEMEEN
"Almere Stad, Operetteweg",Almere Stad,58650660,ALGEMEEN
"Almere Stad, Literatuurwijk Oost",Almere Stad,58650680,ALGEMEEN
"Almere Stad, Literatuurwijk Mid.",Almere Stad,58651060,ALGEMEEN
"Almere Stad, Station Muziekwijk",Almere Stad,58651080,ALGEMEEN
"Almere Stad, Station Centrum",Almere Stad,58655130,ALGEMEEN
"Almere Stad, Literatuurwijk West",Almere Stad,58655520,ALGEMEEN
"Almere Poort, Middenkant",Almere Poort,58420010,ALGEMEEN
"Almere Poort, Homeruskwartier Mid.",Almere Poort,58420100,ALGEMEEN
"Almere Poort, Europakwartier West",Almere Poort,58420120,ALGEMEEN
"Almere Poort, Homeruskwartier Oost",Almere Poort,58420130,ALGEMEEN
"Almere Poort, Homeruskwartier West",Almere Poort,58420180,ALGEMEEN
"Almere Poort, Columbuskwartier",Almere Poort,58420220,ALGEMEEN
"Almere Poort, Hogekant",Almere Poort,58420230,ALGEMEEN
"Almere Stad, Componistenpad",Almere Stad,58650110,ALGEMEEN
"Almere Stad, Stedenwijk Midden",Almere Stad,58650150,ALGEMEEN
"Almere Stad, Haydnplantsoen",Almere Stad,58650250,ALGEMEEN
"Almere Stad, Passage",Almere Stad,58650350,ALGEMEEN
"Almere Stad, Stadhuisplein",Almere Stad,58650430,ALGEMEEN
"Almere Stad, Operetteweg",Almere Stad,58650670,ALGEMEEN
"Almere Stad, Literatuurwijk Oost",Almere Stad,58650690,ALGEMEEN
