Version;Implicit;DataOwnerCode;LinePlanningNumber;LinePublicNumber;LineName;LineVeTagNumber;Description;TransportType;LineIcon;LineColor;LineTextColor
1;true;CXX;L015;15;Veldhoven Centrum - Eindhoven Station;15;;BUS;;;
1;true;CXX;L016;16;Veldhoven MMC - Eindhoven Station;16;;BUS;;;
1;true;CXX;L017;17;Eindhoven Kortonjolaan - Station;17;;BUS;;;
1;true;CXX;L018;18;Bergeijk - Veldhoven - Eindhoven Station;18;;BUS;;;
1;true;CXX;L019;19;Bladel - Eersel - Eindhoven Station;19;;BUS;;;
1;true;CXX;L020;20;Veldhoven MMC - Airport - Best Station;20;;BUS;;;
1;true;CXX;L021;21;Son en Breugel - Ekkersrijt;21;;BUS;;;
1;true;CXX;L022;22;Son en Breugel - Ekkersrijt;22;;BUS;;;
1;true;CXX;L023;23;Helmond Station - Boxmeer Station;23;;BUS;;;
1;true;CXX;L024;24;Helmond Station - Mierlo - Eindhoven Station;24;;BUS;;;
1;true;CXX;L025;25;Helmond Station - Donk - Gemert;25;;BUS;;;
1;true;CXX;L026;26;Helmond Station - Gemert;26;;BUS;;;
1;true;CXX;L028;28;Meijel - Deurne;28;;BUS;;;
1;true;CXX;L051;51;Eeuwsels - Helmond Station;51;;BUS;;;
1;true;CXX;L052;52;Rijpelberg  - Helmond Station;52;;BUS;;;
1;true;CXX;L053;53;Helmond Straakven - Helmond Station;53;;BUS;;;
1;true;CXX;L054;54;Brouwhuis  - Helmond Station;54;;BUS;;;
1;true;CXX;L055;55;'t Hofke - Eindhoven Stationsweg;55;;BUS;;;
1;true;CXX;L101;101;Best Station - Best Breeven;101;;BUS;;;
1;true;CXX;L103;103;Veldhoven Zonderwijk - Eindhoven Station;103;;BUS;;;
1;true;CXX;L114;114;Eindhoven Station - De Hurk;114;;BUS;;;
1;true;CXX;L119;119;Eindhoven Station - Veldhoven ASML;119;;BUS;;;
1;true;CXX;L123;123;Boxmeer - Gemert;123;;BUS;;;
1;true;CXX;L150;150;Helmond Station - Dr. Klompelaan;150;;BUS;;;
1;true;CXX;L255;255;Budel - Soerendonk - Maarheeze;255;;BUS;;;
1;true;CXX;L256;256;Maarheeze station - Valkenswaard;256;;BUS;;;
1;true;CXX;L257;257;Geldrop - Heeze - Valkenswaard;257;;BUS;;;
1;true;CXX;L258;258;Weert - Maarheeze - Heeze;258;;BUS;;;
1;true;CXX;L259;259;Nuenen - Beek en Donk;259;;BUS;;;
1;true;CXX;L260;260;Geldrop - Son en Breugel - Best;260;;BUS;;;
1;true;CXX;L261;261;Beek en Donk - Mariahout - Helmond;261;;BUS;;;
1;true;CXX;L262;262;Helenaveen - Deurne;262;;BUS;;;
1;true;CXX;L266;266;Deurne - Someren - Geldrop;266;;BUS;;;
1;true;CXX;L268;268;Deurne - Bakel - Elsendorp;268;;BUS;;;
1;true;CXX;L271;271;Aalst - Waalre - Veldhoven;271;;BUS;;;
1;true;CXX;L272;272;Eersel - Weebosch - Lommel;272;;BUS;;;
1;true;CXX;L276;276;Valkenswaard - Achel;276;;BUS;;;
1;true;CXX;L277;277;Veldhoven - Valkenswaard;277;;BUS;;;
1;true;CXX;L291;291;Middelbeers - Hoogeloon - Hapert - Bladel;291;;BUS;;;
1;true;CXX;L292;292;Veldhoven - Hoogeloon;292;;BUS;;;
1;true;CXX;L294;294;Veldhoven - Eersel - Vessem;294;;BUS;;;
1;true;CXX;L317;317;Dommelen - Valkenswaard - Eindhoven Station;317;;BUS;;;
1;true;CXX;L318;318;Luyksgestel - Valkenswaard - Eindhoven Station;318;;BUS;;;
1;true;CXX;L319;319;Reusel - Eersel - Eindhoven Station;319;;BUS;;;
1;true;CXX;L320;320;Helmond Station - Asten - Eindhoven Station;320;;BUS;;;
1;true;CXX;L321;321;Gemert - Eindhoven Station;321;;BUS;;;
