Version;Implicit;DataOwnerCode;DestCode;DestNameFull;DestNameMain;DestNameDetail;RelevantDestNameDetail;DestNameMain21;DestNameDetail21;DestNameMain19;DestNameDetail19;DestNameMain16;DestNameDetail16;DestIcon;DestColor
1;true;CXX;L00515928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L00515932;'t Hofke Citroenvlinderln;'t Hofke;Citroenvlinderln;false;'t Hofke;Citroenvlinderln;'t Hofke;Citroenvlinderln;'t Hofke;Citroenvlinderln;;
1;true;CXX;L00515977;'t Hofke ;'t Hofke;;false;'t Hofke;;'t Hofke;;'t Hofke;;;
1;true;CXX;L00615928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L00616064;Helmond Station;Helmond;Station;false;Helmond;Station;Helmond;Station;Helmond;Station;;
1;true;CXX;L00616139;Nuenen Station;Nuenen;Station;false;Nuenen;Station;Nuenen;Station;Nuenen;Station;;
1;true;CXX;L00616140;Nuenen v.Genniplaan;Nuenen;v.Genniplaan;false;Nuenen;v.Genniplaan;Nuenen;v.Genniplaan;Nuenen;v.Genniplaan;;
1;true;CXX;L00616143;Nuenen Oost;Nuenen;Oost;false;Nuenen;Oost;Nuenen;Oost;Nuenen;Oost;;
1;true;CXX;L00616647;Nuenen Papenvoortsedijk;Nuenen;Papenvoortsedijk;false;Nuenen;Papenvoortsedijk;Nuenen;Papenvoortsedijk;Nuenen;Papenvoortsedijk;;
1;true;CXX;L00715928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L007162122;Veldhoven  via Aalst/Waalre;Veldhoven ;via Aalst/Waalre;true;Veldhoven ;via Aalst/Waalre;Veldhoven ;via Aalst/Waalre;Veldhoven ;via Aalst/Waalre;;
1;true;CXX;L00716212;Veldhoven  MMC;Veldhoven ;MMC;false;Veldhoven ;MMC;Veldhoven ;MMC;Veldhoven ;MMC;;
1;true;CXX;L00716237;Waalre Bejaardenhuis;Waalre;Bejaardenhuis;false;Waalre;Bejaardenhuis;Waalre;Bejaardenhuis;Waalre;Bejaardenhuis;;
1;true;CXX;L00716561;Waalre Bergstraat;Waalre;Bergstraat;false;Waalre;Bergstraat;Waalre;Bergstraat;Waalre;Bergstraat;;
1;true;CXX;L00721701;Aalst Ekenrooi;Aalst;Ekenrooi;false;Aalst;Ekenrooi;Aalst;Ekenrooi;Aalst;Ekenrooi;;
1;true;CXX;L00723141;Aalst Ekenrooi Pr.Mauritsweg;Aalst Ekenrooi;Pr.Mauritsweg;false;Aalst Ekenrooi;Pr.Mauritsweg;Aalst Ekenrooi;Pr.Mauritsweg;Aalst Ekenrooi;Pr.Mauritsweg;;
1;true;CXX;L00724842;Aalst Sophiastraat;Aalst;Sophiastraat;false;Aalst;Sophiastraat;Aalst;Sophiastraat;Aalst;Sophiastraat;;
1;true;CXX;L00815917;Acht Rijnstraat ;Acht Rijnstraat;;false;Acht Rijnstraat;;Acht Rijnstraat;;Acht Rijnstraat;;;
1;true;CXX;L00815928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L00815945;De Grote Beek ;De Grote Beek;;false;De Grote Beek;;De Grote Beek;;De Grote Beek;;;
1;true;CXX;L00815986;Kapelbeemd ;Kapelbeemd;;false;Kapelbeemd;;Kapelbeemd;;Kapelbeemd;;;
1;true;CXX;L00815996;Acht ;Acht;;false;Acht;;Acht;;Acht;;;
1;true;CXX;L00822261;Eindhoven Estafettelaan;Eindhoven;Estafettelaan;false;Eindhoven;Estafettelaan;Eindhoven;Estafettelaan;Eindhoven;Estafettelaan;;
1;true;CXX;L00840626;Eindhoven Leo van Dorstpad;Eindhoven;Leo van Dorstpad;false;Eindhoven;Leo van Dorstpad;Eindhoven;Leo van Dorstpad;Eindhoven;Leo van Dorstpad;;
1;true;CXX;L00905860;Best Station;Best;Station;false;Best;Station;Best;Station;Best;Station;;
1;true;CXX;L00915889;Breugel Pallaspad;Breugel;Pallaspad;false;Breugel;Pallaspad;Breugel;Pallaspad;Breugel;Pallaspad;;
1;true;CXX;L00915928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L00915932;t Hofke Citroenvlinderlaan;t Hofke;Citroenvlinderla;false;t Hofke;Citroenvlinderla;t Hofke;Citroenvlinderla;t Hofke;Citroenvlinderla;;
1;true;CXX;L00915977;t Hofke ;t Hofke;;false;t Hofke;;t Hofke;;t Hofke;;;
1;true;CXX;L00916163;Son en Breugel ;Son en Breugel;;false;Son en Breugel;;Son en Breugel;;Son en Breugel;;;
1;true;CXX;L00916176;Son Amerikalaan;Son;Amerikalaan;false;Son;Amerikalaan;Son;Amerikalaan;Son;Amerikalaan;;
1;true;CXX;L00916178;Son Ekkersrijt;Son;Ekkersrijt;false;Son;Ekkersrijt;Son;Ekkersrijt;Son;Ekkersrijt;;
1;true;CXX;L00916631;Meubelplein ;Meubelplein;;false;Meubelplein;;Meubelplein;;Meubelplein;;;
1;true;CXX;L00940444;Eindhoven WoensXL/Zkh;Eindhoven;WoensXL/Zkh;false;Eindhoven;WoensXL/Zkh;Eindhoven;WoensXL/Zkh;Eindhoven;WoensXL/Zkh;;
1;true;CXX;L01015916;Airport ;Airport;;false;Airport;;Airport;;Airport;;;
1;true;CXX;L01015928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L01016023;Geldrop Ln der Vier Heemskind.;Geldrop Ln der;Vier Heemskind.;false;Geldrop Ln der;Vier Heemskind.;Geldrop Ln der;Vier Heemskind.;Geldrop Ln der;Vier Heemskind.;;
1;true;CXX;L01016026;Geldrop Oost ;Geldrop Oost;;false;Geldrop Oost;;Geldrop Oost;;Geldrop Oost;;;
1;true;CXX;L01019002;Geldrop Coevering;Geldrop;Coevering;false;Geldrop;Coevering;Geldrop;Coevering;Geldrop;Coevering;;
